Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLMK233U1AA;SMD MiniLED;Amber;611;616;622;450;680;1400;20;;;;;2.1;2.6;60;Power;82423;Datasheet/leds/VLMK233U1AA\VLMK233U1AA.pdf;Datasheet/leds/VLMK233U1AA\VLMK233U1AA.zip
VLMK234ABCA;SMD MiniLED;Amber;611;616;622;1400;2500;3550;50;;;;;2.25;2.8;60;Power;84215;Datasheet/leds/VLMK234ABCA\VLMK234ABCA.pdf;Datasheet/leds/VLMK234ABCA\VLMK234ABCA.zip
VLMK235T2V1;SMD MiniLED;Amber;611;616;622;355;550;900;20;;;;;2.0;2.6;60;Power;84589;Datasheet/leds/VLMK235T2V1\VLMK235T2V1.pdf;Datasheet/leds/VLMK235T2V1\VLMK235T2V1.zip
VLMK23P2R1;SMD MiniLED;Red;;630;;56;120;140;20;;;;;1.9;2.6;60;Power;81681;Datasheet/leds/VLMK23P2R1\VLMK23P2R1.pdf;Datasheet/leds/VLMK23P2R1\VLMK23P2R1.zip
VLMK23P2S1;SMD MiniLED;Red;;630;;56;125;224;20;;;;;1.9;2.6;60;Power;81681;Datasheet/leds/VLMK23P2S1\VLMK23P2S1.pdf;Datasheet/leds/VLMK23P2S1\VLMK23P2S1.zip
VLMK333U2AB;SMD PLCC-2;Amber;611;616;622;560;850;1800;20;;;;;2.1;2.6;60;Power;82383;Datasheet/leds/VLMK333U2AB\VLMK333U2AB.pdf;Datasheet/leds/VLMK333U2AB\VLMK333U2AB.zip
VLMK334BACB;SMD PLCC-2;Amber;611;616;622;1800;2800;4500;50;;;;;2.25;2.8;60;Power;84213;Datasheet/leds/VLMK334BACB\VLMK334BACB.pdf;Datasheet/leds/VLMK334BACB\VLMK334BACB.zip
VLMK335U1V2;SMD PLCC-2;Amber;611;616;622;450;630;1120;20;;;;;2.1;2.6;60;Power;84911;Datasheet/leds/VLMK335U1V2\VLMK335U1V2.pdf;Datasheet/leds/VLMK335U1V2\VLMK335U1V2.zip
VLMK33S1T1;SMD PLCC-2;Amber;611;617;622;180;275;355;20;;;;;1.9;2.5;60;Power;81350;Datasheet/leds/VLMK33S1T1\VLMK33S1T1.pdf;Datasheet/leds/VLMK33S1T1\VLMK33S1T1.zip
VLMO233U1AA;SMD MiniLED;Soft orange;600;605;611;450;760;1400;20;;;;;2.1;2.6;60;Power;82423;Datasheet/leds/VLMO233U1AA\VLMO233U1AA.pdf;Datasheet/leds/VLMO233U1AA\VLMO233U1AA.zip
VLMO235U1V2;SMD MiniLED;Soft orange;600;605;611;450;650;1120;20;;;;;2.0;2.6;60;Power;84589;Datasheet/leds/VLMO235U1V2\VLMO235U1V2.pdf;Datasheet/leds/VLMO235U1V2\VLMO235U1V2.zip
VLMO235U2V2-35;SMD MiniLED;Soft orange;602;605;609;560;700;1120;20;;;;;2.0;2.6;60;Power;84589;Datasheet/leds/VLMO235U2V2-35\VLMO235U2V2-35.pdf;Datasheet/leds/VLMO235U2V2-35\VLMO235U2V2-35.zip
VLMO333U2AB;SMD PLCC-2;Soft orange;600;605;611;560;950;1800;20;;;;;2.1;2.6;60;Power;82383;Datasheet/leds/VLMO333U2AB\VLMO333U2AB.pdf;Datasheet/leds/VLMO333U2AB\VLMO333U2AB.zip
