Series;Product Image;Product Group;VRmax. / VRRM(V);IFmax.(mA);VFmax. at IF(mV at mA);AEC-Q101 Qualified;Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
BAT85S;Enlarge;Small Signal Schottky Diode;30;200;800 at 100;No;DO-35 (DO-204AH);Single;image/diodes\85513.png;Datasheet\diodes\BAT85S\BAT85S.pdf;Datasheet\diodes\BAT85S\BAT85S.zip
BAT86S;Enlarge;Small Signal Schottky Diode;50;200;900 at 100;No;DO-35 (DO-204AH);Single;image/diodes\85514.png;Datasheet\diodes\BAT86S\BAT86S.pdf;Datasheet\diodes\BAT86S\BAT86S.zip
LL101A, LL101B, LL101C;Enlarge;Small Signal Schottky Diode;60;30;1000 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85626.png;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.pdf;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.zip
LL101A, LL101B, LL101C;Enlarge;Small Signal Schottky Diode;50;30;950 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85626.png;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.pdf;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.zip
LL101A, LL101B, LL101C;Enlarge;Small Signal Schottky Diode;40;30;900 at 15;No;MiniMELF (SOD-80);Single;image/diodes\85626.png;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.pdf;Datasheet\diodes\LL101A, LL101B, LL101C\LL101A, LL101B, LL101C.zip
LL103A, LL103B, LL103C;Enlarge;Small Signal Schottky Diode;40;200;600 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85630.png;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.pdf;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.zip
LL103A, LL103B, LL103C;Enlarge;Small Signal Schottky Diode;30;200;600 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85630.png;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.pdf;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.zip
LL103A, LL103B, LL103C;Enlarge;Small Signal Schottky Diode;20;200;600 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85630.png;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.pdf;Datasheet\diodes\LL103A, LL103B, LL103C\LL103A, LL103B, LL103C.zip
LL41;Enlarge;Small Signal Schottky Diode;100;100;1000 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85671.png;Datasheet\diodes\LL41\LL41.pdf;Datasheet\diodes\LL41\LL41.zip
LL42, LL43;Enlarge;Small Signal Schottky Diode;30;200;650 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85672.png;Datasheet\diodes\LL42, LL43\LL42, LL43.pdf;Datasheet\diodes\LL42, LL43\LL42, LL43.zip
LL42, LL43;Enlarge;Small Signal Schottky Diode;30;200;450 at 200;No;MiniMELF (SOD-80);Single;image/diodes\85672.png;Datasheet\diodes\LL42, LL43\LL42, LL43.pdf;Datasheet\diodes\LL42, LL43\LL42, LL43.zip
LL46;Enlarge;Small Signal Schottky Diode;100;150;1000 at 250;No;MiniMELF (SOD-80);Single;image/diodes\85673.png;Datasheet\diodes\LL46\LL46.pdf;Datasheet\diodes\LL46\LL46.zip
LS101A, LS101B, LS101C;Enlarge;Small Signal Schottky Diodes;60;30;1000 at 15;No;QuadroMELF (SOD-80);Single;image/diodes\85628.png;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.pdf;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.zip
LS101A, LS101B, LS101C;Enlarge;Small Signal Schottky Diodes;50;30;1000 at 15;No;QuadroMELF (SOD-80);Single;image/diodes\85628.png;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.pdf;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.zip
LS101A, LS101B, LS101C;Enlarge;Small Signal Schottky Diodes;40;30;1000 at 15;No;QuadroMELF (SOD-80);Single;image/diodes\85628.png;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.pdf;Datasheet\diodes\LS101A, LS101B, LS101C\LS101A, LS101B, LS101C.zip
LS103A, LS103B, LS103C;Enlarge;Small Signal Schottky Diodes;40;30;600 at 200;No;QuadroMELF (SOD-80);Single;image/diodes\85631.png;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.pdf;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.zip
LS103A, LS103B, LS103C;Enlarge;Small Signal Schottky Diodes;30;30;600 at 200;No;QuadroMELF (SOD-80);Single;image/diodes\85631.png;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.pdf;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.zip
LS103A, LS103B, LS103C;Enlarge;Small Signal Schottky Diodes;20;30;600 at 200;No;QuadroMELF (SOD-80);Single;image/diodes\85631.png;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.pdf;Datasheet\diodes\LS103A, LS103B, LS103C\LS103A, LS103B, LS103C.zip
