Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;DIP-4;10;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;DIP-4, 400 mil;10;800;100;1000;5300;-55 to +110;8;1140;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;SMD-4;10;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;SMD-4, 90° orientation;10;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;SMD-4, 180° orientation;10;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AB, VOT8121AD, VOT8121AG;Enlarge;Non-Zero;SMD-4, 270° orientation;10;800;100;1000;5300;-55 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84918.png;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.pdf;Datasheet/optocouplers/opto-triac/VOT8121AB, VOT8121AD, VOT8121AG/VOT8121AB, VOT8121AD, VOT8121AG.zip
VOT8121AM;Enlarge;Non-Zero;SOP-4;10;800;100;1000;3750;-55 to +110;5;565;UL, cUL, VDE;image/optocouplers/84914.png;Datasheet/optocouplers/opto-triac/VOT8121AM/VOT8121AM.pdf;Datasheet/optocouplers/opto-triac/VOT8121AM/VOT8121AM.zip
VOT8121AM;Enlarge;Non-Zero;SOP-4, 180° orientation;10;800;100;1000;3750;-55 to +110;5;565;UL, cUL, VDE;image/optocouplers/84914.png;Datasheet/optocouplers/opto-triac/VOT8121AM/VOT8121AM.pdf;Datasheet/optocouplers/opto-triac/VOT8121AM/VOT8121AM.zip
VOT8123AB, VOT8123AD, VOT8123AG;Enlarge;Non-Zero;DIP-6;10;800;100;1000;5000;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84926.png;Datasheet/optocouplers/opto-triac/VOT8123AB, VOT8123AD, VOT8123AG/VOT8123AB, VOT8123AD, VOT8123AG.pdf;Datasheet/optocouplers/opto-triac/VOT8123AB, VOT8123AD, VOT8123AG/VOT8123AB, VOT8123AD, VOT8123AG.zip
VOT8123AB, VOT8123AD, VOT8123AG;Enlarge;Non-Zero;DIP-6, 400 mil;10;800;100;1000;5000;-40 to +110;8;1140;UL, cUL, VDE, CQC;image/optocouplers/84926.png;Datasheet/optocouplers/opto-triac/VOT8123AB, VOT8123AD, VOT8123AG/VOT8123AB, VOT8123AD, VOT8123AG.pdf;Datasheet/optocouplers/opto-triac/VOT8123AB, VOT8123AD, VOT8123AG/VOT8123AB, VOT8123AD, VOT8123AG.zip
